state,Distance
Alabama,"2,029"
Alaska,"2,138"
Arizona,649
Arkansas,"1,673"
California,0
Colorado,919
Connecticut,"2,621"
Delaware,"2,514"
Florida,"2,370"
Georgia,"2,207"
Hawaii,"2,348"
Idaho,629
Illinois,"1,780"
Indiana,"1,938"
Iowa,"1,553"
Kansas,"1,297"
Kentucky,"2,030"
Louisiana,"1,788"
Maine,"2,443"
Maryland,"2,448"
Massachusetts,"2,690"
Michigan,"1,959"
Minnesota,"1,550"
Mississippi,"1,866"
Missouri,"1,622"
Montana,906
Nebraska,"1,230"
Nevada,323
New Hampshire,"2,655"
New Jersey,"2,548"
New Mexico,"2,429"
New York,"2,463"
North Carolina,"2,337"
North Dakota,"1,316"
Ohio,"3,528"
Oklahoma,"2,783"
Oregon,871
Pennsylvania,"4,850"
Rhode Island,"5,391"
South Carolina,"4,637"
South Dakota,"2,479"
Tennessee,"3,394"
Texas,"2,793"
Utah,"3,426"
Vermont,"5,183"
Virginia,"4,877"
Washington,817
West Virginia,"4,524"
Wisconsin,"3,477"
Wyoming,"4,435"
